1279.4,2017-03-04
1280.31,2017-03-03
1262.13,2017-03-02
1222.5,2017-03-01
1193.25,2017-02-28
1181.98,2017-02-27
1167.47,2017-02-26
1174.85,2017-02-25
1200.39,2017-02-24
1176.62,2017-02-23
1125.39,2017-02-22
1117.25,2017-02-21
1080.49,2017-02-20
1056.81,2017-02-19
1061.1,2017-02-18
1053.17,2017-02-17
1033.37,2017-02-16
1008.84,2017-02-15
1011.51,2017-02-14
1002.1,2017-02-13
1004.76,2017-02-12
1009.29,2017-02-11
998.9,2017-02-10
1088.99,2017-02-09
1078.97,2017-02-08
1061.93,2017-02-07
1044.64,2017-02-06
1043.63,2017-02-05
1045.9,2017-02-04
1033.87,2017-02-03
1013.52,2017-02-02
989.11,2017-02-01
972.02,2017-01-31
923.05,2017-01-30
923.42,2017-01-29
923.91,2017-01-28
923.22,2017-01-27
919.33,2017-01-26
903.25,2017-01-25
924.14,2017-01-24
928.27,2017-01-23
937.52,2017-01-22
927.37,2017-01-21
899.4,2017-01-20
904.61,2017-01-19
917.5,2017-01-18
910.56,2017-01-17
834.53,2017-01-16
823.31,2017-01-15
835.09,2017-01-14
829.0,2017-01-13
826.25,2017-01-12
919.45,2017-01-11
914.87,2017-01-10
913.69,2017-01-09
942.72,2017-01-08
908.59,2017-01-07
1046.81,2017-01-06
1191.1,2017-01-05
1159.42,2017-01-04
1044.08,2017-01-03
1031.39,2017-01-02
1003.08,2017-01-01
963.74,2016-12-31
972.53,2016-12-30
979.4,2016-12-29
975.92,2016-12-28
940.05,2016-12-27
913.18,2016-12-26
899.65,2016-12-25
923.48,2016-12-24
925.12,2016-12-23
875.78,2016-12-22
834.28,2016-12-21
801.34,2016-12-20
793.61,2016-12-19
794.74,2016-12-18
792.51,2016-12-17
785.03,2016-12-16
781.43,2016-12-15
782.03,2016-12-14
788.46,2016-12-13
781.92,2016-12-12
774.8,2016-12-11
777.09,2016-12-10
774.53,2016-12-09
774.7,2016-12-08
771.54,2016-12-07
765.62,2016-12-06
773.47,2016-12-05
773.87,2016-12-04
778.25,2016-12-03
781.3,2016-12-02
758.27,2016-12-01
747.93,2016-11-30
737.47,2016-11-29
738.01,2016-11-28
739.02,2016-11-27
742.21,2016-11-26
741.65,2016-11-25
746.83,2016-11-24
752.25,2016-11-23
753.87,2016-11-22
741.72,2016-11-21
755.48,2016-11-20
756.24,2016-11-19
752.88,2016-11-18
755.64,2016-11-17
